timestamp,open,high,low,close,volume
1546473600000,3888,3891,3749.5,3784,5229886,1365.29310003
1546387200000,3824,3914.5,3765.5,3888,5583619,1461.97222405
1546300800000,3691,3854.5,3634,3824,5856406,1569.56998432
1546214400000,3830.5,3837.5,3622,3691,1793718,483.19155548
1546128000000,3704,3877.5,3681,3830.5,2801944,739.0323071
1546041600000,3890,3991,3676.5,3704,4415900,1153.10823168
1545955200000,3587,3954,3570,3890,12996429,3459.14030405
1545868800000,3806,3841.5,3551,3587,4401240,1195.5353372
1545782400000,3778.5,3866,3688,3806,2096211,554.67779755
1545696000000,4033,4042,3672,3778.5,5906026,1558.99683402
1545609600000,3945.5,4239,3945,4033,3846624,935.44608543
1545523200000,3980.5,4052,3906,3945.5,3019676,758.29704383
1545436800000,3838,4012,3787.5,3980.5,6520034,1692.772675
1545350400000,4070,4167.5,3769.5,3838,7773800,1957.47157715
1545264000000,3681,4170,3660,4070,17083201,4277.46057969
1545177600000,3662.5,3914,3639.5,3681,8992657,2387.62548286
1545091200000,3496,3681.5,3434,3662.5,5715267,1618.54496946
1545004800000,3190.5,3583,3178.5,3496,8495821,2522.22057655
1544918400000,3185.5,3260,3176.5,3190.5,4213403,1310.40330466
1544832000000,3194.5,3227,3114.5,3185.5,5661152,1780.99824105
1544745600000,3257,3295.5,3130.5,3194.5,7255948,2260.08508714
1544659200000,3431.5,3439,3217,3257,8380544,2517.43675979
1544572800000,3344,3499,3324,3431.5,5055461,1486.2165679101
1544486400000,3406,3438,3285.5,3344,2587208,766.40683079
1544400000000,3526.5,3588.5,3345,3406,9609522,2784.9983862601
1544313600000,3397.5,3629.5,3069,3526.5,13539099,3861.6763669
1544227200000,3372,3492,3246.5,3397.5,7640285,2266.97000442
1544140800000,3428.5,3534,3207.5,3372,13234037,3940.57665427
1544054400000,3694.5,3841,3403,3428.5,19712695,5406.9758577501
1543968000000,3905,3916.5,3655,3694.5,6735775,1775.40282529
1543881600000,3831.5,4000,3734,3905,5098700,1308.24911857
1543795200000,4107,4115.5,3731.5,3831.5,6539826,1678.04194049
1543708800000,4136.5,4266.5,4027,4107,5293478,1286.47318386
1543622400000,3975.5,4261.5,3820,4136.5,4094343,997.73556282
1543536000000,4230,4297,3819.5,3975.5,3455220,853.28078506
1543449600000,4218.5,4393,4089,4230,3281170,779.02399599
1543363200000,3771.5,4354,3769.5,4218.5,5048089,1240.4535788
1543276800000,3723.5,3828,3565,3771.5,6210316,1679.60449287
1543190400000,3935,4077,3502,3723.5,7602785,2017.73869333
1543104000000,3780.5,4115.5,3441,3935,9689944,2587.70895278
1543017600000,4290,4373.5,3641,3780.5,3249527,810.41374972
1542931200000,4262.5,4371,4073,4290,5229596,1236.35523848
1542844800000,4535.5,4587.5,4241.5,4262.5,4392158,993.23672396
1542758400000,4360,4672,4235,4535.5,14805790,3324.48550103
1542672000000,4736.5,4890,4028.5,4360,24004022,5323.77066005
1542585600000,5556,5579,4671.5,4736.5,20824690,3991.202281
1542499200000,5501.5,5669,5501.5,5556,11438656,2065.98913017
1542412800000,5509.5,5554.5,5451,5501.5,6822824,1240.53554772
1542326400000,5579,5610,5406.5,5509.5,13068946,2369.50894975
1542240000000,5601.5,5638,5186.5,5579,20057921,3674.82316224
1542153600000,5740,5740,5241,5601.5,14779268,2675.93670841
1628467200000,43821,46500,42810,46297.5,6821873105,151210.933614027
1628380800000,44600.5,45385,43262.5,43821,6538095671,147305.7115012755
1628294400000,42858.5,44742.5,42436.5,44600.5,6206983962,142470.0508190753
1628208000000,40880,43422,39894,42858.5,6056006922,145870.6198368341
1628121600000,39737.5,41364.5,37282.5,40880,5657080579,144090.1454754993
1628035200000,38190,39946,37450,39737.5,3591602686,92679.3113977164
1627948800000,39137.5,39739,37555,38190,3985259762,103830.8585044599
1627862400000,39833,40437,38650,39137.5,3739551155,94581.9397748836
1627776000000,41447,42605.5,39351.5,39833,4341450044,105264.3824582768
1627689600000,42245.5,42444,41042.5,41447,3559920551,85473.6725762822
1627603200000,40018,42369.5,38329,42245.5,4738868011,118665.1907794246
1627516800000,40008,40654.5,39256.5,40018,3857407789,96738.4745140297
1627430400000,39497.5,40941,38813.5,40008,6430502030,161282.4516281325
1627344000000,37228,39565,36405,39497.5,5392431045,142680.4281995713
1627257600000,35405.5,40581,35215.5,37228,9878125285,257829.0446326617
1627171200000,34247,35426,33851,35405.5,3127168253,90844.7134742805
1627084800000,33634,34488.5,33406,34247,2469675510,72887.9441894569
1626998400000,32277,33665.5,32001,33634,2562877660,78662.3501162247
1626912000000,32102.5,32580,31722,32277,2716725443,84584.8314559406
1626825600000,29775.5,32840,29500,32102.5,4805770275,152796.478263996
1626739200000,30811.5,31038.5,29258,29775.5,3490476338,117039.4556199527
1626652800000,31773,31897,30352,30811.5,2837052593,91236.7407422622
1626566400000,31495,32425.5,31083.5,31773,2368642732,74680.9698287772
1626480000000,31382.5,31945,31155,31495,2454291055,77818.4274214243
1626393600000,31864,32220,31020,31382.5,2822789192,89038.5863761252
1626307200000,32795.5,33190.5,31126.5,31864,4031998309,126103.2183729003
1626220800000,32715.5,33085,31553.5,32795.5,3440448557,106285.6487772887
1626134400000,33094,33330.5,32167,32715.5,2935999669,89545.9133192424
1626048000000,34243,34688.5,32630,33094,3337282590,99355.0649474112
1625961600000,33498.5,34600,33320,34243,2240990448,66222.01566828
1625875200000,33800,34236.5,32970,33498.5,2409588417,71554.0893783397
1625788800000,32862,34096,32264,33800,3017344969,91009.7220085788
1625702400000,33838.5,33895,32070.5,32862,4345050501,132175.7696815488
1625616000000,34213,35079,33737.5,33838.5,3561698705,103192.389782254
1625529600000,33690.5,35097.5,33481.5,34213,4282825865,125436.0229232419
1625443200000,35293,35293.5,33127,33690.5,4215238305,123657.5029415289
1625356800000,34690.5,35950,34370.5,35293,3280095681,92946.6777179821
1625270400000,33775,34940,33308,34690.5,3143401858,91730.6055628954
1625184000000,33512,33948,32635.5,33775,3939125623,118376.7291590306
1625097600000,35027,35031,32668.5,33512,4401199716,131017.7999722892
1625011200000,35929.5,36105,34014,35027,5008250495,143592.1219306395
1624924800000,34479.5,36605.5,34232,35929.5,5303937132,149291.5545479706
1624838400000,34713,35300,33866,34479.5,4879467867,141409.9604104418
1624752000000,32272.5,34765.5,31969.5,34713,5248979288,158604.6594598301
1624665600000,31561,32744,30120.5,32272.5,6541151872,208611.7959649249
1624579200000,34640.5,35500,31200,31561,6414363217,193432.8358644681
1624492800000,33675.5,35328,32278.5,34640.5,4807815802,142570.624865901
1624406400000,32518.5,34853,31725,33675.5,5863447132,173807.4466234479
1624320000000,31610.5,33300,28726.5,32518.5,9530165434,303488.7897023278
1624233600000,35595,35749,31251,31610.5,8749665021,266305.9074437518
1624147200000,35482.5,36139,33311.5,35595,4663344918,134231.4973720897
1624060800000,35790,36447,34781,35482.5,3864988836,108263.0203545968
1623974400000,38051,38181,35130,35790,5447843823,147811.2279851775
1623888000000,38323.5,39575.5,37359,38051,4205209812,109158.0162227504
1623801600000,40126.5,40515.5,38082,38323.5,5399689991,137631.5928016034
1623715200000,40519.5,41338,39486.5,40126.5,4925828614,122491.08303297
1623628800000,39031.5,41003,38783.5,40519.5,5065925580,127248.3837852903
1623542400000,35539.5,39369,34753,39031.5,4669178042,127274.2637209099
1623456000000,37330,37442,34573.5,35539.5,4336489521,121611.1132414779
1623369600000,36690,37697.5,35927,37330,4212077247,113944.8972205846
1623283200000,37399,38477,35820,36690,5008276958,135095.8857791264
1623196800000,33390.5,37540,32437,37399,5882224412,167912.0580175031
1623110400000,33533,34023.5,31009,33390.5,5538783231,169695.6407095945
1623024000000,35786.5,36820.5,33243.5,33533,3922775065,110300.7154301016
1622937600000,35509,36487.5,35211,35786.5,2466077483,68622.6459908415
1622851200000,36846.5,37911,34784.5,35509,3890898758,107077.980652544
1622764800000,39226,39259.5,35583,36846.5,4362283865,117890.805405121
1622678400000,37544,39440,37182.5,39226,3712157913,96172.672336079
1622592000000,36674.5,38231.5,35904.5,37544,3000449002,80507.0554891914
1622505600000,37253.5,37884.5,35622,36674.5,4050857991,110578.8962454417
1622419200000,35661,37490.5,34180,37253.5,3735268820,103424.8969537431
1622332800000,34598.5,36497.5,33386.5,35661,2902180607,82112.8187945711
1622246400000,35670.5,37377.5,33634.5,34598.5,4387192363,124804.3637065618
1622160000000,38512.5,38882,34703,35670.5,5356605120,147017.7741112604
1622073600000,39260.5,40450,37177,38512.5,4014034869,103328.3520851703
1621987200000,38368,40890.5,37833.5,39260.5,4449643329,113342.3695394968
1621900800000,38842,39800,36495,38368,4866044386,128127.4626958769
1621814400000,34707,39921.5,34436,38842,6070177179,163149.2988439266
1621728000000,37463,38285,31100,34707,9896468303,290393.7058965677
1621641600000,37300.5,38883.5,35250,37463,5195235665,138775.8717262591
1621555200000,40622.5,42335,33463.5,37300.5,10485817874,275609.2495115139
1621468800000,36806.5,42444,35000,40622.5,8754310218,222632.6816927777
1621382400000,42871.5,43592,29800,36806.5,31890631155,883948.1960996474
1621296000000,43558.5,45800.5,42270,42871.5,5464462604,124452.8285029257
1621209600000,46421.5,46605.5,42100,43558.5,7666699546,174176.5070582998
1621123200000,46795.5,49808,43815,46421.5,7105822484,152190.8926401347
1621036800000,49909,50733.5,46601,46795.5,5719077575,117742.0988319493
1620950400000,49709,51563,48907,49909,4117992064,82072.7149176706
1620864000000,49536,51344.5,45805,49709,13798748378,281476.6800937232
1620777600000,56787.5,58029.5,48496.5,49536,8643832935,159214.4638655687
1620691200000,55920.5,56977.5,54562.5,56787.5,4518978975,80949.7676087971
1620604800000,58295.5,59697,53613,55920.5,8869970083,155120.7003709566
1620518400000,59024,59392,56369,58295.5,4774758825,82431.3855245245
1620432000000,57429.5,59652,57000,59024,6055803597,103235.4690019304
1620345600000,56385.5,58777.5,55333,57429.5,5067638277,88831.2176463008
1620259200000,57530,58472.5,55311,56385.5,5107794986,89651.3446770137
1620172800000,53264,57955,52948.5,57530,5422908044,96894.8063978359
1620086400000,57178,57195.5,53091.5,53264,8830018566,160006.3712468769
1620000000000,56654.5,59070.5,54537.5,57178,7158758962,123822.3430122144
1619913600000,57889.5,57972.5,56129,56654.5,4236067414,74546.6929204121
1619827200000,57763.5,58573,57123,57889.5,4581864076,79210.6386272195
1619740800000,53568.5,57963,53081.5,57763.5,6206194232,111418.201247796
1619654400000,54873,55200,52374,53568.5,5572291301,103690.1771388118
1619568000000,55039.5,56563,53900,54873,6182054646,112657.2698077103
1619481600000,54020.5,55500,53326,55039.5,5257284587,96248.0811148114
1619395200000,49074,54392,48808,54020.5,8769523051,166185.1653010663
1619308800000,50115.5,50536,47000,49074,6132598336,124712.8749379921
1619222400000,51124.5,51157,48713,50115.5,5484515402,109838.5078608479
1619136000000,51714.5,52120.5,47530.5,51124.5,13755751679,277546.2411463708
1619049600000,53846,55494,50500,51714.5,11353053661,213980.853016669
1618963200000,56513,56821.5,53691.5,53846,5362526113,96972.9914873855
1618876800000,55699.5,57127,53424.5,56513,6564888295,118629.3512927651
1618790400000,56250.5,57587,54300,55699.5,6252879700,111423.1785694844
1618704000000,60169.5,60473,51705.5,56250.5,22574651279,409199.0066812343
1618617600000,61474.5,62588.5,59679.5,60169.5,5129570002,83899.351502573
1618531200000,63325.5,63650,60121,61474.5,7335305382,118989.4342318325
1618444800000,63019,63962.5,62154.5,63325.5,5974306492,94794.1679625523
1618358400000,63554.5,64990,61300,63019,11295317438,178331.9405486223
1618272000000,59887,63785.5,59887,63554.5,8931959252,143383.0968459343
1618185600000,60016,61400,59447,59887,5859327121,97234.8347670574
1618099200000,59724.5,60791,59281,60016,5408267757,90285.945702891
1618012800000,58129.5,61573,57950.5,59724.5,9150201042,152346.2200191657
1617926400000,58126.5,58943.5,57720,58129.5,4753765964,81559.5176512045
1617840000000,55929.5,58184,55706,58126.5,4567354112,79791.3281850667
1617753600000,57986.5,58729,55511.5,55929.5,7614639783,133686.793814427
1617667200000,59293.5,59634,57432.5,57986.5,5395850876,92274.6798932214
1617580800000,58255.5,59350,56822,59293.5,5186942015,89044.7004741423
1617494400000,57061,58546.5,56510,58255.5,4429022979,76892.8416242944
1617408000000,59026.5,59899,56902,57061,6479839077,110403.2603525168
1617321600000,58788,60365,58500,59026.5,6355623976,106987.8015784438
1617235200000,58822,59563,58038,58788,6261998593,106346.0650110581
1617148800000,58733.5,59920,56814.5,58822,9885329903,168431.6635985702
1617062400000,57631.5,59518,57099.5,58733.5,6464544350,110376.8739065665
1616976000000,55790,58496.5,54947,57631.5,7199684793,125846.4601193966
1616889600000,55866.5,56580,54728,55790,5335500972,95630.2761796668
1616803200000,55113,56715.5,54022,55866.5,6307052346,114065.9007897775
1616716800000,51335,55143.5,51259,55113,6565719772,123103.3342882136
1616630400000,52201.5,53210,50458,51335,9518965620,183492.9922425419
1616544000000,54407.5,57254.5,51611,52201.5,10758787304,196520.0253318536
1616457600000,54055.5,55874.5,52992,54407.5,7632819207,139696.1408901144
1616371200000,57430,58487.5,53622,54055.5,8771752882,155523.0016890919
1616284800000,58118.5,58628,55400,57430,7285172477,127384.1942094505
1616198400000,58050,60000,57840,58118.5,6507442082,110468.5084582409
1616112000000,57644,59546.5,56265,58050,8372783706,143588.5948131975
1616025600000,58999.5,60200,57029,57644,9954606943,169923.3282930584
1615939200000,57029.5,59085,54151.5,58999.5,11267441482,199574.8948958295
1615852800000,55682.5,57059,53196,57029.5,9436703657,170817.8061805953
1615766400000,58990,60844,54570.5,55682.5,14804167447,258665.6598327207
1615680000000,61167,61754.5,58985.5,58990,8859603007,146767.9484705558
1615593600000,57217,62000,56120,61167,12843048105,215930.8947702448
1615507200000,57818,58152.5,55086,57217,10876107233,191562.58329842
1615420800000,55852,58283.5,54300,57818,12641844775,223801.8478036464
1615334400000,54967.5,57500,53057.5,55852,11654608171,209238.0308495435
1615248000000,52529,54967.5,51974.5,54967.5,7242105043,134205.3493074176
1615161600000,50990,52550,49332,52529,6546512584,128592.2917466478
1615075200000,48933.5,51484.5,48933,50990,5255531173,104431.8337708794
1614988800000,48792.5,49279.5,47080,48933.5,4584843713,94987.3019502355
1614902400000,48395,49495,46300,48792.5,7283808664,152638.3968523328
1614816000000,50352,51833.5,47538,48395,8680388438,175717.230528898
1614729600000,48511,52760,48188,50352,7302784447,143792.6491193631
1614643200000,49688.5,50299,47100,48511,6127702614,126217.6307132233
1614556800000,45239.5,49860,45087,49688.5,6109578252,127782.3269801708
1614470400000,46167,46700,43017.5,45239.5,6716575304,150207.6718290135
1614384000000,46358.5,48438.5,45006,46167,4822399569,102743.9882737478
1614297600000,47099.5,48473.5,44119,46358.5,8426645512,181304.8988851437
1614211200000,49743.5,52185.5,46700,47099.5,7390241983,148471.2922790526
1614124800000,48910.5,51432,47024,49743.5,7246022166,145675.7534349215
1614038400000,54055.5,54141.5,44911,48910.5,17756614263,365943.6451775261
1613952000000,57452,57585.5,47575,54055.5,17566961106,329317.1932020621
1613865600000,55968,58500,55620.5,57452,6471744275,113051.7397115199
1613779200000,55850,57699,54040,55968,8310422336,147725.3776411144
1613692800000,51613.5,56395.5,50684,55850,8767228261,163471.1582492604
1613606400000,52188,52667,50872,51613.5,6046074185,116548.507076009
1613520000000,49235,52735,49079.5,52188,8750695529,171799.3093097633
1613433600000,47993.5,50855,47070,49235,7879099390,160767.5909096479
1613347200000,48694.5,49140,45830,47993.5,6174525476,129537.2541353063
1613260800000,47255.5,49926.5,47150,48694.5,5116811496,104713.1917736656
1613174400000,47455,48343.5,46250,47255.5,3999317145,84656.3083305893
1613088000000,48103,49238,46162,47455,6439402331,135073.5942864702
1613001600000,44888,48838,44100,48103,6796312152,144953.8169485334
1612915200000,46510,47531,43758,44888,6415214954,140643.7109654746
1612828800000,46552,48315.5,45000,46510,7344050542,157026.0042018947
1612742400000,38870,47000,38032,46552,12644259692,294625.6423293871
1612656000000,39308,39844.5,37458,38870,5058909077,130743.9315311478
1612569600000,38392.5,41002.5,38314.5,39308,5562610051,139687.022074485
1612483200000,37017,38426.5,36638,38392.5,3406338245,90276.9609192239
1612396800000,37712.5,38895,36191,37017,4871012726,129865.7924925108
1612310400000,35524.5,37740,35433,37712.5,3574395286,97568.8941161503
1612224000000,33532.5,36020,33444,35524.5,3347344648,95972.1916687882
1612137600000,33136.5,34797,32327,33532.5,3115699537,92264.3946205748
1612051200000,34330,34387.5,32190,33136.5,2737195900,81997.923721123
1611964800000,34220.5,34947,32810,34330,3075204789,90347.1051246601
1611878400000,33459.5,38735,32023.5,34220.5,11404745167,320028.5284475915
1611792000000,30387.5,33830,29875.5,33459.5,3754898013,117420.9922495834
1611705600000,32508,32571.5,29250,30387.5,4788450735,155631.3496535291
1611619200000,32240.5,32940,30819.5,32508,3511648491,110037.7722300167
1611532800000,32290.5,34881.5,31914,32240.5,4065911793,121805.8672416392
1611446400000,32087.5,33134,30948.5,32290.5,2661458453,82803.2839844206
1611360000000,33000.5,33504,31443,32087.5,3182183087,98385.5254379039
1611273600000,30821,33850,28829.5,33000.5,5778097738,183989.8637115452
1611187200000,35538,35641,30005,30821,7135729469,220753.3700919843
1611100800000,35843,36428,33342.5,35538,5257995444,150502.5180248574
1611014400000,36661,37955,35792.5,35843,4407004853,119311.6362756293
1610928000000,35879.5,37548.5,34768,36661,4186717532,115890.1458664219
1610841600000,35933.5,36907.5,33834.5,35879.5,4818228276,135831.6495735974
1610755200000,36737,37996,35323.5,35933.5,5517805707,149769.139859389
